,movie_id,company_id
0,862,3
1,8844,559
2,8844,2550
3,8844,10201
4,15602,6194
5,15602,19464
6,31357,306
7,11862,5842
8,11862,9195
9,949,508
10,949,675
11,949,6194
12,11860,4
13,11860,258
14,11860,932
15,11860,5842
16,11860,14941
17,11860,55873
18,11860,58079
19,45325,2
20,9091,33
21,9091,21437
22,9091,23770
23,710,60
24,710,7576
25,9087,5
26,9087,97
27,12110,5
28,12110,97
29,12110,6368
30,21032,33
31,21032,56
32,21032,4105
33,10858,915
34,10858,1504
35,1408,183
36,1408,415
37,1408,8411
38,1408,14723
39,524,33
40,524,10898
41,524,11583
42,524,11584
43,4584,441
44,4584,932
45,5,14
46,5,59
47,9273,5682
48,9273,6194
49,9273,10210
50,11517,5
51,8012,216
52,8012,8411
53,1710,508
54,1710,10104
55,9691,1885
56,9691,5358
57,9691,6194
58,9691,10308
59,9691,23397
60,9691,25061
61,12665,175
62,12665,915
63,451,60
64,451,15547
65,16420,5
66,16420,97
67,9263,12
68,17015,288
69,37557,2588
70,37557,4507
71,37557,23647
72,9909,915
73,9909,10103
74,9909,10288
75,63,33
76,63,507
77,63,17031
78,78802,70801
79,9598,33
80,9598,2537
81,47018,694
82,47018,874
83,47018,8363
84,47018,19316
85,47018,30226
86,47018,31080
87,47018,44821
88,687,406
89,687,1382
90,687,10163
91,139405,53390
92,33689,6130
93,33689,6194
94,33689,11661
95,33689,89131
96,9603,4
97,34615,53009
98,34615,85681
99,34615,89840
100,31174,871
101,31174,34237
102,11443,175
103,11443,476
104,11443,915
105,35196,14
106,9312,12
107,9312,4174
108,577,364
109,577,441
110,11861,33
111,11861,56
112,807,12
113,807,4286
114,807,65394
115,10530,2
116,10530,10217
117,8391,2480
118,629,361
119,629,9168
120,11448,14
121,11448,1030
122,26441,2
123,26441,175
124,97406,14
125,97406,7832
126,124057,7320
127,124057,10260
128,9089,4
129,9089,802
130,9089,1382
131,11359,4
132,11359,441
133,11359,862
134,17182,4
135,2054,915
136,2054,916
137,2054,1382
138,2054,10201
139,10607,14
140,10607,3492
141,10607,5441
142,19760,6194
143,19760,10210
144,9536,8411
145,9536,11061
146,9536,36390
147,9536,38003
148,11525,12
149,40628,14
